text,label,predict
"this story was probably one of the most powerful i have ever taken in . john singleton certainly went above and beyond when putting together this educational masterpiece . brilliant performances by the whole cast  but epps and rapaport turned in the best and most convincing of either young star  s career .  br    br   however  as a college student myself  many of the issues that singleton touched on were taken to the extreme . in a sense that  while they are issues faced on many college campuses  they aren  t presented as big or out in the open as this movie would make one believe . in some instances  it almost seemed ridiculous to think that something of this nature could actually occur . however  aside from the fact that it was a little over dramatic  the film was brilliant and left me stunned  unable to talk  just think . one of the things from this picture i will remember forever  was a quote from lawrence fishburn  s character   knowledge is power  without knowledge  you cannot see your power .  brilliant  just brilliant .  
",0,0
"  major payne  is a film about a major who makes life a living hell for his small group of boys in the marines . this film does not really have a lot to offer  but it provides several hilarious moments that are well  worth a watch . don  t expect it to be a memorable film  however . just expect to laugh your way through the film and at the expense of other people . the confrontation between major payne and the chubby boy were hilarious  and that  s really all i remember about the film except for the boys wanting revenge on major payne . again  it is not a great film  and it is probably best watched on a rainy day when you need some laughter .  
",0,0
"this movie had lots of great actors and actresses in it and it addressed some very noble issues . it  s full of emotion and the direction is done well . the storyline progresses very quickly  but i guess that  s better than having to watch a  hour movie . this is an easy movie to watch again and again and enjoy .  
",0,0
"judy holliday struck gold in     withe george cukor  s film version of  born yesterday   and from that point forward  her career consisted of trying to find material good enough to allow her to strike gold again .  br    br   it never happened . in  it should happen to you   i can  t think of a blander title  by the way   holliday does yet one more variation on the dumb blonde who  s maybe not so dumb after all  but everything about this movie feels warmed over and half hearted . even jack lemmon  in what i believe was his first film role  can  t muster up enough energy to enliven this recycled comedy . the audience knows how the movie will end virtually from the beginning  so mostly it just sits around waiting for the film to catch up .  br    br   maybe if you  re enamored of holliday you  ll enjoy this otherwise i wouldn  t bother .  br    br   grade c  
",0,0
" spoilers   br    br   this movie always seems very exaggerated  until i remember that my college campus had a former  student  turned  nazi  racist  killer  who  then  committed  suicide  too his name was benjamin nathaniel smith .  br    br   look him up in the wikipedia  i added a few photos to their article about him .  br    br   it  s hard to believe  but this stuff really does happen .  br    br   i  m not a big fan of omar epps or ice cube  but larry fishburne  kristy swanson  jennifer connelly  mike rappaport were good .  
",1,1
"i think cliff robertson certainly was one of our finest actors . he has a half dozen classics to his credit . he does fine here as the heavy  but the direction is so bad and the pacing so tiresome  it never gets off the mark . the story starts off well although it makes me wonder how he could count on his wife hanging herself . still he mugs well and carries things along . the death knell is twofold . first of all  if we were to take the amount of time characters spend walking from one room to another or one part of the house to another  it would eat up about a third of the movie . add to that  robertson  s character sitting up in bed in the blue light  looking confused  that might add another chunk . i agree with those that said a half hour shorter would have made it a pretty decent  though insignificant film . the biggest weakness is just a convoluted plot that  when all is said and done  leaves incredible questions . i  m not putting in spoilers  but when it ends  don  t think too much . i can come up with ten what  ifs without raising a sweat . it would have been better if it had remained a ghost story .  
",1,1
"french film directors continue to amaze with their extraordinary ability to simulate the sights and sounds of ordinary  everyday suburban life . this was readily apparent with the release early in     of l  emploi du temps  time out   a brilliant character study of of a white collar worker  s descent into melancholy after having been fired from his job . as is the penchant of french filmmakers  many scenes were shot on real streets and in public places  giving a cinema verite feel to the story  yet l  emploi du temps also possessed an elegant look thanks to excellent camera work and some stunning location footage  most notably a swiss mountain retreat  . running fairly on the heels of that masterful movie comes another impressive french production  jacques audiard  s gritty crime caper  sur mes levres  read my lips  . actually  to tag this film a crime caper does it a disservice because it is so much more than that . as with the earlier french release  it is an incisive character study of marginal people using their wits to get ahead in a society that has turned its back on them . in a paris construction firm carla  a shy  diminutive young woman sits at her desk  sequestered to an area of the office that is a major pathway to the xerox machines and restrooms .  br    br   obnoxious coworkers use the front of carla  s desk to chat and drop off their half  finished styrofoam cups of coffee . partially deaf  carla turns her hearing aids on and off at will if noise becomes bothersome  be it the drone of the paper copiers or the shrill crying of a friend  s baby . when her boss calls her into the office to suggest that she hire a secretarial assistant to help her with the work load  carla fears she may lose her job . at the employment office carla lists the specifications she wants for her assistant  preferably male  as if she were at a personals agency . he should be   years old and clean  cut  with extensive computer and filing skills . when the agency sends over an unkempt  menacing looking young man  carla is both shocked and intrigued . they leave the office and have lunch at a local eatery  where carla interviews her prospective assistant . when she finds out that he has just gotten out of prison  carla initially wants nothing to do with paul  but has a change of heart and hires him on . although she is basically kind toward her helper  carla now finds herself in a position of authority and possessing a newfound sense of power . paul learns quickly and becomes an able worker . carla helps paul find a temporary place to live and even covers for him when his parole officer shows up one day at the office wondering why paul missed his appointment . during one of their lunch breaks carla informs paul of her hearing deficiency and reveals her ability to read lips . later  when an avaricious coworker blatantly takes over a project carla has been working on  a furious carla asks paul  s help in seeking revenge on the man . from here on in sur mes levres becomes an increasingly intense crime drama escalating into some of the most violently graphic scenes that have been shown on the screen in recent years . the screenplay borrows elements from hitchcock  most notably rear window  where carla  s lip  reading talent comes into full play using a pair of binoculars . there is a teasing  on  again  off  again sexual attraction between the two protagonists that culminates in a rather strange homage to north by northwest  but it works because of the considerable sexual heat that builds slowly between the two stars . that being said  what one carries away from this movie isn  t so much the similarities to classic hitchcock thrillers  although those elements are definitely there  but the pervasive view a of a modern day city  in this case paris  where life runs the gamut from mundane workdays to a boozy  garish nightlife where sex  drugs and laundered money infiltrate the lives of several characters . unlike hollywood productions  this is a psychological suspense yarn where the people look like the everyday man and woman on the street  where a punch in the face or groin sounds like a sickening thud and where the office is a place to be feared . it  s hitchcock with the gloves off .  
",0,0
"following the success of  paris  je t  aime   a group of directors decided to get together and make a similar anthology style film based in new york . unlike the original film  the stories in this film seem to sometimes come and go too quickly   by the time you think are getting into a story  it  s over in too many cases . and  the often start up and stop and then begin again   with the stories woven together . as a result  there is no title to indicate that a story is complete and it is less formal in structure .  br    br   sadly  however  while  paris  je t  aime  was hit or miss  mostly hit   most of  new york  i love you  was miss . the stories tended to be much more sexual in nature but also far less sweet   and often quite terrible . it was an amazingly dull and uninteresting film with only a few exceptional stories   and perhaps the often depressing music made it seem more so . now understand  it was good quality music but its somber tone really  really made me feel like cutting my wrists  among the better ones was the story about the young man who took a girl in a wheelchair to prom  the couple talking about cheating outside a restaurant  though this was also in the first film  and the crotchety old couple . this is all so sad because i had loved the first film so much   and i really wanted to love this film . i respected what they tried but simply didn  t like it very much .  br    br   by the way  and this is not really a complaint  but i was amazed how many people were smoking in the film . for a recent film  that was unusual in our more anti  smoking culture .  br    br   also  if you get the dvd  there are two segments included as extras that were not included in the film . one consists of kevin bacon  wearing a cool fedora  eating a hotdog . . . . and absolutely nothing more for almost ten minutes . the other features a teen who spends the film videotaping the world   including a very unhappy couple .  
",1,1
"of life in  some  colleges . of course there were artistic licenses taken  but some of what you saw in this film go on in some colleges .  br    br   i went to colleges in southern california where the races pretty much hang around with their own . it  s funny because these are schools that want racial unity  equality etc . and i can honestly say  that it  s there . but the thing is when class lets out  or when they  re just hanging out waiting for class  they  students  seem to just hang around with people of their own race or ethnicity . is that bad  not really . everyone needs a feeling of belonging . but like the school paper of one of the schools i attended once wrote about that   we should all try to hang around with students of other ethnicities and try to know them .  otherwise you  re creating your own segregation .  br    br   racism certainly existed in one of those schools i attended . one time someone put leaflets around campus talking about the glories of the aryan race and had the symbols of some of those racist organizations . fortunately  nothing happened like the incident in the movie where the young caucasian man went off and started shooting at a multiculturalism gathering .  br    br   i can only hope and pray that nothing like that ever will happen .  br    br   so is  higher learning  overly dramatic  exaggerated  maybe . is it way  off mark   it depends on where you went to or go to school . the race thing where the ethnicities just hang around with their own does happen . minus the hollywood exaggerations  the race thing hit pretty close to home for me .  
",1,1
"this movie was o . k . but it could have been much better . there are some spooky moments but there aren  t enough of them to make me ever want to see this movie again . there are some scenes you could fast forward through  not miss anything . the biggest flaw is that it is so predictable   that is the reason why i rated it so low . it  s watchable but don  t expect anything great .  
",1,1
"first one has to take into account the time period this film was made in .     . rappers were in it  and that added to the flair of it .  br    br   remy was a socially awkward teen trying to find his way and couldn  t  until he met and was befriended by nazis . they took him in . nazi  s aren  t all this awkward  but like most gangs  they fill a void that is missing be it economic  social  emotional  whatever . michael rappaport played the part perfectly .  br    br   omar epps was the hot shot track star  with a questionable work ethic and a chip on his shoulder . he kept trying to feel sorry for himself and his plight  and had his girlfriend and professor to straighten him out on it .  br    br   kristen was a young white girl trying to find herself and trying to fit in  until she was date raped . she then found her self experiment with her sexuality  and getting involved politically .  br    br   this film deals with racism and like most things that deal with racism  people  s own perspectives come into play .  br    br   i read so many comments about how there were no  evil  black characters but there were evil white one  nazis  . so what  remy wasn  t portrayed as evil at all  he was trying to find his way  and kept failing until some skinheads accepted him . he was scared  it was sad to see him devolve how he did . he even says right before he kills himself  i didn  t mean it  i wanted to be an engineer .  br    br   ice cube and busta rhymes were angry black men  ice cube was somewhat of an intellectual  and busta rhymes was just portrayed as a dumb thug . they both showed no consideration at all for their roommates  and generally appear to not like white people very much . they were angry like the nazis but not on the level of nazis in terms of overall badness . sorry if this makes it seem unfair  but are there really black groups like the nazis  no .  br    br   people say it shows white  bad blackgood . not true  the only bad white characters were the nazis and the police  which is more or less true in real life . kristen was a good girl  her boyfriend  omar epps roommate  was a good guy  and even remy was a good guy  he was just misguided .  br    br   omar epps  ice cube and busta were seriously flawed characters  angry and inconsiderate . although their constant harassment by police seemed to justify some of their anger . remy  s inability to fit in seemed to justify his anger as well .  br    br   good movie  well done . like all movies that deal with racism  its a great piece to get a discussion going .  br    br   i don  t think cube and busta coulda beat those nazis though .  
",0,1
"the character acting is a little stiff  as if it is the first time man of the actors have appeared on screen . unfortunately one of the better actresses  jean simmons  played many bit roles on tv  like in star trek tng and in the heat of the night   dies quickly and thereafter her acting can be markedly missed .  br    br   the lead role is mr ballard  as portrayed by cliff robertson . cliff is forced to carry this movie with his body language for most of the time . he doesn  t do a poor job  but it is a little overmuch to ask of an actor to plug the oceans of blank screen time during which the characters spend their time not talking and also not acting . robertson  s most memorable role may have been ben parker in the last  spider man movies  starring tobey maguire  .  br    br   the plot is predictable . a husband murders his rich wife for her money . thereafter the wife seems to comeback and haunt the husband driving him insane until he leaps from a high window  fearing the specter of his dead wife approaching him  on the day he is predicted to die no less .  br    br   the second chauffeur mr ballard hires looks a lot like an english mark hamill . uncanny really  the only thing that stands out is the utter disregard for dialogue . many minutes pass in quietness  no one speaks  and few act . it is a shame the mst  k guys never got hold of this movie . it could have been much better  if not just as predictable  with more dialogue  or shorter scenes of  nothingness  .  br    br   i kept expecting g  mork  s red eyes to appear from the shadows and proclaim that he works for the  nothing  that inhabits this film .  
",1,1
